user_id	smiles	start_time	end_time	undos	predictions_used	rubs	prediction_type	group_id	smiles_drawn	time_taken
3	C(=C)1CC(=C)C(=C)C1	2017-03-15 15:53:44	2017-03-15 15:53:54	0	2	0	3	3	C(=C)1CC(=C)C(=C)C1	00:00:10
3	C(=C)1CC(=C)C(=C)C1	2017-03-15 16:00:35	2017-03-15 16:00:45	0	0	0	0	3	C(=C)1CC(=C)C(=C)C1	00:00:10
3	C(=C)1CC(=C)C(=C)C1	2017-03-15 16:01:44	2017-03-15 16:01:52	0	3	0	1	3	C(=C)1CC(=C)C(=C)C1	00:00:08
3	C(=C)1CC(=C)C(=C)C1	2017-03-15 16:02:35	2017-03-15 16:02:44	0	3	0	2	3	C(=C)1CC(=C)C(=C)C1	00:00:09
3	C(CC)1=CC=CC=C1	2017-03-15 15:54:01	2017-03-15 15:54:07	0	2	0	2	3	C1=CC=CC=C1CC	00:00:06
3	C(CC)1=CC=CC=C1	2017-03-15 15:55:59	2017-03-15 15:56:06	0	2	0	3	3	C1=CC=CC=C1CC	00:00:07
3	C(CC)1=CC=CC=C1	2017-03-15 15:59:34	2017-03-15 15:59:42	0	3	0	1	3	C(CC)1=CC=CC=C1	00:00:08
3	C(CC)1=CC=CC=C1	2017-03-15 16:00:23	2017-03-15 16:00:29	0	0	0	0	3	C(CC)1=CC=CC=C1	00:00:06
3	C1=CC=CC=C1C(O)(C)C	2017-03-15 15:51:52	2017-03-15 15:52:09	0	0	0	0	3	C1C(C(O)(C)C)=CC=CC=1	00:00:17
3	C1=CC=CC=C1C(O)(C)C	2017-03-15 15:59:14	2017-03-15 15:59:28	0	4	0	2	3	C1=CC=CC=C1C(O)(C)C	00:00:14
3	C1=CC=CC=C1C(O)(C)C	2017-03-15 16:00:00	2017-03-15 16:00:18	0	2	0	3	3	C1(C=CC=CC=1)C(C)(C)O	00:00:18
3	C1=CC=CC=C1C(O)(C)C	2017-03-15 16:03:27	2017-03-15 16:03:41	0	3	0	1	3	C(C(O)(C)C)1=CC=CC=C1	00:00:14
3	C1=CC=CC=C1C(O)CCCCO	2017-03-15 15:54:12	2017-03-15 15:55:08	0	2	0	1	3	C1C=CC(C(CCCCO)O)=CC=1	00:00:56
3	C1=CC=CC=C1C(O)CCCCO	2017-03-15 15:55:14	2017-03-15 15:55:54	0	6	0	2	3	C1C(C(CCCCO)O)=CC=CC=1	00:00:40
3	C1=CC=CC=C1C(O)CCCCO	2017-03-15 15:56:53	2017-03-15 15:57:14	0	0	0	0	3	C1=CC=CC=C1C(O)CCCCO	00:00:21
3	C1=CC=CC=C1C(O)CCCCO	2017-03-15 15:57:22	2017-03-15 15:57:51	0	4	0	3	3	C1=CC=CC=C1C(O)CCCCO	00:00:29
3	C1C(F)C(F)CC(F)C1F	2017-03-15 15:52:15	2017-03-15 15:52:39	0	0	0	1	3	C1C(F)C(F)CC(F)C1F	00:00:24
3	C1C(F)C(F)CC(F)C1F	2017-03-15 15:59:47	2017-03-15 15:59:54	0	1	0	3	3	C1C(F)C(F)CC(F)C1F	00:00:07
3	C1C(F)C(F)CC(F)C1F	2017-03-15 16:02:16	2017-03-15 16:02:30	0	0	0	0	3	C1C(F)C(F)CC(F)C1F	00:00:14
3	C1C(F)C(F)CC(F)C1F	2017-03-15 16:02:51	2017-03-15 16:03:03	0	3	0	2	3	C1C(F)C(F)CC(F)C1F	00:00:12
3	CC([C@@H](N)C(=O)O)C	2017-03-15 15:52:47	2017-03-15 15:53:37	0	0	0	2	3	C(C)(C)[C@@H](N)C(=O)O	00:00:50
3	CC([C@@H](N)C(=O)O)C	2017-03-15 15:56:13	2017-03-15 15:56:47	0	0	0	0	3	[C@H](C(C)C)(N)C(O)=O	00:00:34
3	CC([C@@H](N)C(=O)O)C	2017-03-15 15:58:39	2017-03-15 15:59:08	0	0	0	1	3	C(C(O)=O)(N)C(C)C	00:00:29
3	CC([C@@H](N)C(=O)O)C	2017-03-15 16:00:51	2017-03-15 16:01:38	0	1	0	3	3	[C@H](C(=O)O)(N)C(C)C	00:00:47
3	P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	2017-03-15 15:57:57	2017-03-15 15:58:12	0	0	0	3	3	C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1	00:00:15
3	P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	2017-03-15 15:58:18	2017-03-15 15:58:33	0	0	0	0	3	C1=CC=CC=C1P(C1=CC=CC=C1)C1=CC=CC=C1	00:00:15
3	P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	2017-03-15 16:01:57	2017-03-15 16:02:11	0	0	0	2	3	C1=CC=CC(P(C2=CC=CC=C2)C2=CC=CC=C2)=C1	00:00:14
3	P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	2017-03-15 16:03:09	2017-03-15 16:03:22	0	1	0	1	3	C(P(C1=CC=CC=C1)C1=CC=CC=C1)1=CC=CC=C1	00:00:13
6	C(=O)1C(C2=CC=CC=C2)C(C2=CC=CC=C2)C=C2C3=CC=CC=C3S(=O)(=O)N12	2017-03-23 14:36:00	2017-03-23 14:35:58	0	1	0	3	1	C(=O)1C(C2=CC=CC=C2)C(C2=CC=CC=C2)C=C2C3=CC=CC=C3S(=O)(=O)N12	-00:00:02
6	C(=O)1C(C2=CC=CC=C2)C(C2=CC=CC=C2)C=C2C3=CC=CC=C3S(=O)(=O)N12	2017-03-23 14:36:59	2017-03-23 14:37:24	0	0	0	0	1	C(=O)1C(C2=CC=CC=C2)C(C2=CC=CC=C2)C=C2C3=CC=CC=C3S(=O)(=O)N12	00:00:25
